[0.00 - 15.10]  Okay, how did that last exercise go?
[263.58 - 305.18]  And so at that point, we just said, okay, go back to that point just before you were there, and what were you deciding? Right. And then I used audio, too, in order to shake that whole frame because he stayed so much in the associated state of that limited decision. And that really opened the bag for me because at first it just looked like just do the steps very quickly and sometimes you can just stay at that number three a little bit and it's possible to do them quickly but you do have to calibrate the client always yeah yeah I thought that was really interesting good thank you good observation yeah you always have to calibrate the client so that's good good that you did. And he fooled me. He was very good.
[305.32 - 308.40]  I mean, he did a little bit of a shift, but, you know,
[309.48 - 312.42]  of course, the staff here is so wonderfully qualified.
[312.60 - 315.00]  They noticed that it wasn't a real true shift,
[315.68 - 317.78]  and he admitted that he didn't really shift all the way.
[318.74 - 321.20]  Well, then you have to just slap him around a little bit.
[322.64 - 365.42]  Oh, actually, he might like that, so you probably shouldn't. Yeah, that's good. So notice the decision destroyer. If we're talking about time, space, matter, and energy, notice that the decision destroyer, because of the ambiguity, where were you, can deal with state, it can deal with time, or it can deal with location, so it's really nicely ambiguous in terms of how it does that. So it actually, although we say we're doing it time, in terms of time, could also be location or could also be state, because where were you is also a common way of asking for state. I was, well, where were you? I was kind of like not feeling that good.
[366.58 - 369.24]  So it's ambiguous in an Ericksonian way
[369.24 - 385.14]  that allows the client to do whatever they do with it. If they're being too ambiguous with their response, then you narrow in on different, I call it, modalities, you know, the different ways that... Yep. Thank you. Exactly. Okay, so before we move on to the next concept, the next exercise,
[385.42 - 387.62]  let me just ask you a question.
[388.28 - 609.62]  So I want to introduce this thought right now. We're going to come back to it again several times during the rest of our training here. Did you, or let me see, how many people did for a moment when you were doing the last exercise? How many people experienced a moment or a state of where there were no thoughts, you're sort of in suspension? Yeah, good. Good. So I'm going to come back and talk about that in just a minute. That's what I want to talk about in just a minute. But first, I want to have a couple more. I want to have a few more experiences. See, what we're doing here, what we're doing here is we're ungluing the glue of experience. We talked about the different possibilities of glue. We talked about yesterday a little bit. We're going to talk some more about it today. And so what is the glue of experience? Well, here are some of the things. These include, and we're looking at slide number 40, these things include time and space, which are the words technically are prepositions. Remember, there are spatial and temporal prepositions. Just for fun, I included a whole list of prepositions on page 238. And according to the dictionary, a preposition limits a verb according to... Listen to this. This is the dictionary now. A preposition limits a verb according to some circumstance of space, time, manner, degree, cause, or reason. The dictionary is already doing quantum linguistics here. What the heck? All right. So let's look at page 239. We took some of the prepositions and grouped them in terms of spatial prepositions and temporal prepositions on page 239. So being aware of using these particular words in your language can also, even though we're talking about linguistics, we're talking about quantum linguistics, let me jump ahead for a moment to submodalities. Because these words themselves can be useful in assisting a client in letting go of the glue that holds their submodalities together. Think about it for just a minute. Can you think of something that you really know? And when you think of the something you really know, do you have a picture of it? you have a picture want to play for a minute okay let's play when you think of something you know just think of something you know and when you think of that something you know do you have a picture okay just nod yes when you have a picture great now let me just let me just ask you aside from that what else do you know? Now, what happened when I said that? I actually took my hand and moved it across. We'll talk about that when we talk about how to work with people using submodalities. But something else happened when I used the word aside from that. Did anything happen to you when I did that? What happened? My picture went aside. Your picture went aside, didn't it? Didn't it? So, did anybody else's picture go aside? Your head turned a little bit. Yeah. How many people? Raise your hand again. Let's see what percentage of people. Great. Your picture changed. Oh, just about everyone. Okay. let's do another one can you think of the thing you know again can you think of the thing
[609.62 - 672.20]  you know again? Can you think of the thing you know? Now, let me just suggest that there are other things you know. Moreover, the things you know... What happened that time? It went up. It went up, all right. Okay, here's one let's let's do it again do you think it's something you know right what's behind that okay so spatial prepositions are kind of fun to play with and they can allow you to do unobtrusive submodality shifts in a client, especially with regards to location. What's one of the most powerful drivers? Location. So these can assist you in doing that. And then we also have some temporal prepositions at the bottom of the page, which I'm sure we've used to see if we can make an outline of those.
[672.32 - 673.14]  So page 239.
[673.48 - 675.20]  What's another thing that holds glue together?
[675.70 - 677.10]  We're back on slide number 40.
[679.38 - 680.62]  Nouns and nominalizations.
[680.62 - 765.40]  But what I'm interested in right now is the experience of energy and how modal operators can affect some of our rules in life. And this particular process is really disarmingly simple. It's very easy to get a sense of this. You already know it intuitively. Let's look at page 237. This is a list of modal operators. And one of the things we've noticed about modal operators, even though in linguistics there are two kinds of modal operators that are normally discussed, which are possibility and necessity. My sense is that there's also a third class of modal operators which are in between possibility and necessity, which I'd like to call probability. I'll propose that we call them probability, and I'll propose it only in that they don't seem quite as possible as possibility. Like you can seems to me to be more possible than you could. Doesn't it seem that way to you? Yeah. So I'd like to propose, I'm sure that Noam Chomsky and S.I. Hayakawa and maybe even Alfred Korzybski are going to roll over in their grave when I do this, but this works from an NLP point of view. So let me just suggest that I'd like to be so bold as to say that perhaps we can set up three classifications of modal operators,
[765.52 - 771.34]  and I've sort of listed them on page 237. We could classify them into necessity, probability,
[771.44 - 776.00]  and possibility. And then, of course, we've got, I was going to say im-necessity, but that doesn't
[776.00 - 781.06]  work. So we'll call it negative necessity, like doesn't allow, don't have to, got not to, it's not
[781.06 - 905.24]  time, must not, not necessary. Improbability, which is couldn't. Probability is could. Probability is dare to, deserve, had better. And then we could do possibility and impossibility, which is able to or am not or am, can't, can, doesn't permit, permits, et cetera. And one of the things that's not immediately obvious is, now think about this for just a minute. If a client has a modal operator, what does that do to the client's rules in life? Actually, modal operators often form our rules. They tell us when we can or can't do something. They tell us when we should do something or when we shouldn't do something. They tell us when we have to or when when we must do something. So, what I'm going to suggest is it's possible to, now, remember that we have our, the basis of all of our NLP patterns, which is essentially associate to present state, dissociate present state, associate to resources, disassociate resources to present state, and then future paste the resources. I'm going to suggest it's possible to take and chain together a bunch of modal operators that will lead a client in a new direction simply using the modal operators themselves. Simply using the modal operators themselves. And if you look at slide number 42, we're going to talk about a very simple little process. So, what are we going to suggest you do? First step is start where the client is. Use the modal operator, whatever modal operator you're doing, and then you decide where you want the client to go to. If you're familiar enough with modal operators and you decide where you want the client, obviously you want the client to end up in a modal operator of possibility. What are the modal operators of possibility? Can, I'm able to, I choose to, I decide to, I do, I intend, it's possible, a permit, etc. So we're then deciding where we want to go.
[905.32 - 907.78]  We're then going to use the client's modal operator
[907.78 - 911.26]  and add to it at least one intermediate modal operator
[911.26 - 918.50]  and add to that a modal operator possibility.
[921.38 - 925.26]  The process is so simple that you've only got a slide for it.
[925.28 - 926.38]  You don't have a page in your notebook.
[929.88 - 931.54]  But you can follow along from the slide.
[932.02 - 932.80]  Slide 42.
[934.80 - 938.40]  Okay, so can someone tell me...
[938.40 - 938.98]  You guys want to play?
[940.32 - 942.94]  So what we're looking at is energy or how.
[1007.42 - 1011.92]  Before we were looking at time, possibly space, using the decision process, decision destroyer. Now we're looking at how a person would do something. And the how is these are the rules that form the boundaries of what you can and cannot do, linguistically. You with me? So does anyone have a rule that you have in your life or something you'd like to be free of? Has anybody got a minor problem that you have in your life that you'd like to get rid of that when you describe it you use a modal operator of necessity or even impossibility? Okay, so can you give me the rule, the sort of, can you tell me what it... It's with a should. I should always be resourceful. Okay. One of the things that you should be able to realize is that it might be possible, when think of it that you can be resourceful at your choice.
[1014.22 - 1014.62]  Yeah?
[1015.46 - 1016.76]  Now, what happens inside?
[1017.30 - 1018.72]  What happened inside you?
[1018.86 - 1021.46]  Now, notice we were calibrating them all so we got the nod of the head.
[1022.18 - 1023.20]  We got a nice color shift.
[1023.32 - 1085.60]  Now, what do you feel about you should be resourceful? I can be. You can be? Yeah. Thank you. Give Lauren a hand. That's good. That's great. Okay. Very simple little intervention. Very simple little intervention. Looks very simple. We start off, chain the modal operator, emphasize it as though it were embedded command. We used his modal operator, you should. Of course, one of the things I said is you should realize hypnotic language pattern with that, right? That it's something that, what did I say in between? You might. Where is that now? You might. That's a modal operator of probability. It's not quite possible, so we don't want to just go, yeah, you can, because, quite frankly, it might have been too big of a leap for him. So we're taking him across the boundaries. We set up the should, we calibrate to his positive state, we then go to might as a possibility intermediate, and then we go right to modal operator possibility, which is you can.
[1105.24 - 1106.40]  Oh, you felt like you were going down a step. Boom. And you can, yeah. Yeah. Very good. Excellent. Any questions about the process? Because we're about to do it as an exercise. It takes five minutes apiece. The people that finished last, by the way, don't work together again. one of the things I like to do is whenever somebody uses a should
[1106.40 - 1108.64]  I love to combine that with should realize
[1108.64 - 1125.00]  so you say you should and the client goes yeah realize so it's a nice sort of opening so what we're about to do start from where the client is get get their modal operator decide where you want to go we wanted the client to possibility, can. Then we use the client's modal operator.
[1125.00 - 1127.00]  Add at least one intermediate.
[1127.00 - 1144.46]  Calibrate the client. If the client's not moving that quickly, you may have to add another intermediate. And if the client starts way over on negative necessity, you're just going to use page 237 for this. If the client starts over on negative necessity, I sort of look as though they come down the left side first. So it's negative necessity, improbability, impossibility,
[1144.94 - 1146.96]  necessity, probability, and possibility.
[1148.38 - 1148.56]  Okay?
[1148.56 - 1485.74]  So... down the left side first, so it's negative necessity, improbability, impossibility, necessity, probability, and possibility. Okay, so Laurent started with should, so he started on the upper right-hand side, so we really only had to go a couple of steps. If he'd started way over in negative necessity, we might have had to have another step in between to add in another modal operator. Calibrate the client for each step, make sure they're with you. Five minutes a piece. Yes, a question. If they start with negative necessity, then you might want to go either improbability or impossibility or even necessity. So like for example, client says, I really must not do this. And so I might say to him, well, couldn't you realize that you should be thinking about other possibilities, and you can, can you not? Doesn't that just torque the mind? Because these are all rules. These fire off all of our rule structures. And what we're doing is we're running over the boundaries of your rule structures when we do this. Even though I'm just playing, we're kind of trampling on the boundaries of your rule structures, which is great fun. So let's do it. Five minutes a piece, that's all it takes. Get the modal operator, fire it back to the client, notice what happens. Groups of three, one group of if you're doing're doing it on tape, stop the tape now and do the exercise. Go ahead and stop the tape. All right, welcome back. How did that last exercise go? Yeah. Now let me just ask you a question. Did you notice that sometime before you transition to or in the middle of transitioning to the last model operator that you were working with, did you notice at some point a moment of blankness or a moment of no thoughts or a moment of suspension? Did anybody notice that? Great. Okay. Virtually everyone again. Yeah. Yeah. And again, I'm going to ask you to think about what is that. We'll be talking more about that as we go on. What is that blank state that occurs? Okay. Okay. Any questions about chaining modal operators? Good. Good. Good job. Let's move on to Meta Model 3. Page 2, 36. We're looking at slide number 43, and we're looking at page 2, section 2, page 36. This really isn't Meta Model 3. This is an example of Meta Model 3. There is no such, really. Meta Model 1 was the original Meta Model. Meta Model 2 was a precision model. There was much made in NLP 10 years ago, probably, about Meta Model 3, which is essentially, Meta Model 3 is essentially directed questioning to produce a specific result. Meta Model 3 is essentially directed questioning to produce a specific result. But wait a minute, wait a minute, wait a minute. Haven't we been doing that already? Yeah, okay. Okay, we've been doing that already. So when we talk about quantum linguistics, that's all of what quantum linguistics is, is directed questioning. Or we could use directed statements, but questioning are good because it gets the client to consider. By the way, did, did you notice that the client doesn't have to actually answer the questions in the decision destroyer? Did you notice the client doesn't actually have to answer the questions? In meta model three, what we'll notice is the client doesn't have to, doesn't have to actually answer the question either that we're about to ask the client. Okay, so let's look and see let we're going to do. And this one is sort of detailed in terms of how it works, and notice that it pretty much follows our basis of all NLP patterns on slide number 38. So the first thing, client's got a problem, and we say, what's wrong? What are we doing? Associating to present state. What caused this problem, present state? How have you failed to resolve this? And then number four, which, by the way, doesn't make any sense logically. How can you overcome the solution to your problem? What do you think the word overcome does now that we've looked at prepositions? Right, right, over come the solution to your problem. That flips it, then you say what would you like to change? When will you stop it from being a limitation? How many ways do you know you solve this? Now what are we doing? We're actually, how many ways do you know you solve this? We're associating to resources, associating resources to present state. And then I know you're changing and seeing, changing and seeing things differently actually linguistically future paces. This is, again, I want to say this is not meta model three. Meta model three is directed questioning for a specific result. This is an example. Anything which directed questions could be called Meta Model 3. This just happens to be the title of this page. Oh, that's what it says down at the bottom. Small print disclaimer. This is an example. This is only an example. If this were a real test, then you'd already know about Meta Model 3. Who put that at the bottom? He was off the wall when he did that. The guy sitting in that chair. So does somebody have a, somebody want to play Meta Model 3? Somebody have a problem? They want to share with us? Yeah, I found myself, I get intimidated easy when I'm going through some of these exercises. Yeah, what's wrong? When I'm a practitioner. What's wrong? I'm feeling intimidated.
[1486.06 - 1487.10]  What caused this problem?
[1488.16 - 1489.06]  My thoughts.
[1491.22 - 1491.90]  You know.
[1493.74 - 1495.40]  Well, let me ask you a question.
[1495.50 - 1497.32]  How have you failed to resolve this?
[1498.06 - 1499.32]  And by the way, he doesn't have to answer.
[1501.28 - 1502.68]  I just want you to consider that.
[1502.68 - 1503.94]  How have you failed to resolve this?
[1525.10 - 1525.56]  Okay. I don't know. You don't know? Well, think about it for a minute. How have you failed to resolve this? I haven't thought differently. You haven't thought differently. Okay, good.
[1526.40 - 1526.50]  So let me ask you a question.
[1528.40 - 1625.20]  How can you overcome the solution to your problem? Think differently. What would you like to change? How I think. When will you stop it being a limitation? Now. And how many ways do you know you've solved this several several ways but when one in particular is it's disappeared I know your chair I know you're changing and seeing things differently yes yes I am now what was the problem now we're gonna go back and just test. What was the problem? What problem? Yeah. Now let me just ask you a question, because I really want you to get this. Thank you, Dan. Did this make any sense, what I said? No. No, it didn't make any logical, reasonable, rational sense. And quantum linguistic stuff doesn't have to make sense. We're working on the boundaries. We talked about this yesterday. We're working on the neurological boundaries that comprise the problem. We were working earlier when we did the modal operators on the boundaries, chaining modal operators on the boundaries that comprised our rule structure. Before that, we were working on the boundaries that comprise time. What are we working on here? We're working on the boundaries that comprise time what are we working on here we're working on the boundaries that comprise or deal with relationship that is how do we which is could be matter or depending on how the problems described or nominalization right so we're working on the boundaries that describe the relationship between the client and the problem.
[1643.98 - 1644.06]  Just wanted to point that out. The relationship changes when we say, how can you overcome the solution to your problem? So we're using the preposition, the preposition of overcome, and it changes it. Ready? Exercise. Five minutes apiece. Same thing. Got a problem? Get rid of it. Five minutes. Ready, go. New people. If you're listening to the tapes,
[1644.06 - 1645.70]  Please stop the tape and do the exercise now.
[1649.14 - 1652.34]  This is the end of tape five, side B.
