[0.00 - 18.64]  Okay, so for strategy elicitation, here's the news.
[505.66 - 523.56]  But I had one client who used to hear voices under his bed when he was a kid. He used to hear, like, bad old things talking to him from under his bed. And his parents would just say, well, don't do that. Don't listen. Don't have any voices in your head. And so eventually what happened was he figured out how to do it is he shut off his access of auditory construct.
[525.14 - 527.44]  To the extent that when you asked him,
[527.74 - 545.36]  and actually this client is he shut off his access of auditory construct. To the extent that when you asked him, and actually this client also shut off his visual construct, to the extent that when you looked at him, he would not move his eyes horizontally to the left or even upward to the left because A, they were too weak, and because B, it didn't feel good to do it. So I want you to know that in that case you could get
[545.36 - 685.84]  a client whose eye patterns didn't look like they were normal. But in fact they are normal, it's just that there was some sort of something in the past that happened that caused them to de-emphasize an eye pattern or to use a portion of the eye patterns a little bit less. So that's the first thing I need to say about eye patterns is that since 1984 I have not found a single person who wasn't normally organized or reversed organized, unless they had some sort of well-meaning adult who said, don't do that, or some sort of trauma, or some sort of not wanting to access their feelings, or some sort of something that kept them from accessing a certain part of the eye patterns. And what I want to tell you is that's normal. In fact, there's a whole process, Francine Shapiro, some of you actually asked me about this particular process. Francine Shapiro, I met Francine at the Erickson Congress in 1992. Francine Shapiro invented a technique called EMDR, which is eye movement desensitization and retraining. And actually what the client does is move the eyes into certain positions, accessing a certain memory, and then moving the eyes around, and actually the memory is depotentiated by the movement of the eyes. Francine very nicely has limited that technique so that it's only taught to licensed personnel. So it is not available to someone who's unlicensed, and she makes the people who she trains sign nondisclosure agreements. So EMDR is strictly a clinical technique at this point. On the other hand, probably what happened is that Francine discovered eye patterns, and we did this, and I haven't actually talked to her about this, so this is totally conjecture on my part, but that she did the eye-tr that we're about to do, and then just to see what happens. And when she did, she discovered that some things could release from it. So, a couple things. We're about to do an eye tracking exercise so that you can see if your eyes track easily and smoothly throughout all the way around the entire circle of the head, of your head. So what we'll do is, I'm going to try to describe this for those of you listening on tape, what we'll do is you'll actually hold your finger or two fingers out in front of the client, maybe at about two feet, and you'll actually move your hands around the entire, all the way around 360 degrees, and notice if the client's eyes can follow your hand.
[707.00 - 707.24]  So the client's eyes should be able to follow your hand all the way around, and the client will tell you, oh, this feels a little, or if you notice a glitch where the eyes actually jump over a certain place where they actually don't move smoothly or where they don't go into a certain quadrant smoothly, you may find that there's an emphasis there or actually a lack of emphasis or a lack of ability to access a certain place in the eye patterns.
[745.88 - 768.06]  So what you're going to do is the eyes are going to follow the tracking or when you're the master practitioner, you'll hold the fingers and have the client track around. You also want to track the diamond, so horizontally across, across visual construct. So you actually will go visual recall to kinesthetic, visual construct to auditory digital, visual recall to auditory digital, and all the way around, actually, and then you're going to go back and forth and across to check the diamond. That's the exercise we're going to do momentarily, but I want to take some questions about eye patterns. Those people who have some sort of inhibition for reaching one quadrant or another, can they get it back? Sure, just exercise. It's eye exercise. If there's some trauma in the quadrant, and there may be, then we'd have to use timeline therapy to get rid of the trauma. And then eye exercise to strengthen the muscle. It's simply an inability of the client's muscles to move the eyes in that certain direction. I'd read that a common eye position was to stare straight ahead with the pupils dilating.
[768.20 - 770.54]  Actually, I'm not really sure about the pupils dilating.
[770.68 - 772.82]  Let's talk about that other possibility.
[773.56 - 777.84]  Usually when someone has information right on the surface,
[779.34 - 784.72]  they'll simply defocus their eyes and recall that information.
[806.54 - 826.84]  So defocused eyes are not necessarily visual, although some books say they are. In my experience, defocused eyes are recalling information that's right on the surface. So someone could recall auditory by just simply, I don't know if you've ever watched musicians, but I've watched some musicians, and when they recall sometimes a song that they know real well, they'll just defocus their eyes. They don't have to go over to the auditory and pick it up. So my experience is that the defocusing of the eyes is either visual auditory or kinesthetic or something that is right on the surface. Plus, some people who have a look-to-talk rule, which we'll talk about when we get into elicitation, some Some folks who have a look-to-talk rule are very good at picking up information without
[826.84 - 845.48]  having to move their eyes around, So somebody with a really strong look-to-talk rule may give you very little eye pattern movement. Have you seen, if you work with a client who has trauma, you do timeline therapy, you clear that, are they then able to access that quadrant that they hadn't accessed?
[845.86 - 847.80]  However, maybe their eyes are too weak to...
[847.80 - 852.32]  They should be able to access the quadrant without it being traumatic for them.
[853.10 - 856.02]  However, the muscles themselves may be weak,
[856.10 - 859.00]  and so the eyes may not access that quadrant as easily.
[859.46 - 862.22]  And then the key is to do eye exercises.
[863.22 - 947.32]  Is left and right angler are the same, are the same movement for the eyes? Yeah. Generally, let's talk about it. These eye patterns right here are for a normally organized person, and it's usually a right-handed person, although some people who are right-handed, who were made to write right-handed when they were kids, are really reversed organized. And so their eye patterns will be reversed, but they'll be right-handed. And most people who are left-handed have reversed eye patterns. Except for some people who are left-handed have normal eye patterns. So what we call them is normally organized and reversed organized. Normally we could just just call them right handed and left handed eye patterns, but they're not that. Because there are exceptions to that. And one of the reasons would be made being, if you're left handed, being made to right, right handed as a kid, but you'd still have left, you'd still have, you'd still have reversed eye patterns. What does it mean, Tad, when a person goes from left to right and their eyes jump in the middle meridian they kind of jump over i don't know who does that uh a fellow i work with whoa yeah does he access does he like is he accessing straight up or what well what he does is he's over here and um it looks it looks like auditory right he's an auditory auditory uh recall, he's in auditory. Recall? Recall, and then he goes over to construct,
[947.82 - 963.98]  and his eyes jump, and then they go over to auditory construct. Yeah. Maybe he's making a picture on the way by. Really? Yeah. Oh. I mean, where do his eyes jump to, really? Does he jump halfway? It goes up like a little bump. Does he go up half when he goes?
[964.04 - 965.30]  Is it right in the middle or is it on the right?
[965.30 - 965.88]  It's right in the middle.
[966.50 - 966.78]  Huh.
[967.32 - 985.06]  Well, then I would say he might be he might be accessing he might be hitting visual construct on the way by okay i mean i don't know i haven't seen him but right it's possible that he would go pick up a little just a quick picture and keep talking about it okay yeah um why would somebody who is totally right-handed at everything,
[1008.28 - 1008.40]  so they weren't made to be right-handed, be reverse-organized? It's a matter of brain dominance. So some people are right-handed but still have reverse brain dominance. So whether or not the eye patterns are normally organized or reverse-organized is usually a matter of brain dominance. So it's are you right-brain or left-brain dominant. and mostly, not always,
[1046.92 - 1065.86]  but mostly the people who are normally organized are organized in the normal way of brain dominance, and most people who are reverse organized are organized in the reverse way of brain dominance. I don't work too much with brain dominance because it's not really something that's necessarily useful in terms of anything I can do with it, per se, from an intervention point of view or from a change point of view but the eye pattern that's that's the reason for the eye patterns being either normally organized or reversed son just one more quick question for someone with trauma people with trauma in their past they don't necessarily they are not necessarily not able to access no not necessarily no and the trauma may be something as little as an adult looking at you and looking at you funny could be trauma for some people. You know, like making a face at you and you go, whoa, I'll never make that picture in my mind again, you know. And some, I mean, I've talked to people who did that. I mean, just boom, and they would never make a picture again, you know. No, I mean, when you're a kid, what do you know? When you're two, you know? And for other people, trauma could be real big,
[1066.48 - 1065.86]  and then they could still access. No, I mean, when you're a kid, what do you know? When you're two, you know? And for other people, trauma could be real big,
[1066.48 - 1069.00]  and then they could still access.
[1069.18 - 1082.68]  So there's no necessary relationship, except that some people, in order to stop, for example, and let's look at each of the quadrants and why we would stop doing it. For some people, if they're making up bad pictures in their head, they might stop accessing visual construction. If they're recalling bad pictures they don't want to recall,
[1082.76 - 1084.14]  they might stop accessing visual recall.
[1084.58 - 1086.20]  If they're making up bad sounds in their head,
[1086.24 - 1088.02]  they might stop accessing auditory construction.
[1088.10 - 1087.80]  If they're recalling bad pictures they don't want to recall, they might stop accessing visual recall. If they're making up bad sounds in their head, they might stop accessing auditory
[1087.80 - 1104.16]  construct. If they're remembering bad things that were said, they might stop auditory recall. And if they're remembering bad feelings, they might stop accessing kinesthetic. And I don't know why somebody would stop accessing AD. It doesn't make any sense to me at all. I've really had a thing with this eye pattern, and when I was young, I had a muscle turning my eye, right?
[1104.48 - 1104.88]  Oh, wow.
[1104.96 - 1108.78]  So from the time I was maybe four months old to the time I was two and a half, I had the
[1108.78 - 1146.64]  operation to correct it see that would be during the arborization phase too i saw two images cool one was real one was illusion so i kind of go down the middle yeah and if i can brush and feel which one's the real one because you know your bottle your food you kind of want to get to it yeah i felt that way so that answers so many questions why you know and people when they try to do my eye pattern they don't see me switching okay here's the deal when his eye patterns are weird get that up front they're very they're very fast but i do realize i switch now so. Can I force that a little bit more so I can broaden maybe?
[1147.12 - 1147.74]  Force what?
[1148.00 - 1151.62]  Well, you know, go into the eye patterns a little bit more so I can kind of...
[1151.62 - 1152.60]  Oh, eye exercises.
[1152.74 - 1153.28]  Sure, sure, sure.
[1153.50 - 1155.86]  You can do eye exercises and really get your eyes, you know,
[1155.92 - 1156.92]  moved into certain quadrants.
[1157.00 - 1157.56]  It would be really good.
[1158.06 - 1159.74]  I think eye exercises are good for everybody.
[1160.20 - 1166.52]  Yeah, I really do. You know, there's the Bates method of vision correction written by Mary Corbett, for example,
[1166.76 - 1168.00]  which was written in, I don't know what year.
[1168.14 - 1168.60]  Does anybody remember?
[1169.00 - 1169.14]  Huh?
[1169.54 - 1169.86]  40s?
[1170.04 - 1170.50]  Something like that.
[1170.62 - 1171.82]  You know, she says you'll never need glasses
[1171.82 - 1178.66]  if you exercise your eyes every day. Think about it for just a minute. Think about it for just a minute, because we're going to get into eyesight, Not right now, but in just a bit.
[1179.18 - 1180.00]  Think about it for just a minute.
[1180.10 - 1184.78]  It's like, I don't know what eye doctors do where you live,
[1184.86 - 1186.30]  but where I live mostly,
[1186.40 - 1188.62]  because I went to an eye doctor when I was in college.
[1188.74 - 1186.30]  That was when I needed glasses. It's like, I don't know what eye doctors do where you live, but where I live mostly,
[1186.40 - 1206.60]  because I went to an eye doctor when I was in college. It was when I needed glasses. And he put me in glasses, and then he said, and you'll probably need to, what, come back? And then he said, and then when you reach the age of? Forty. Forty? I think it sounds like everybody's got that, huh? We'll get you a dog. We'll get you a what? A dog!
[1207.78 - 1207.94]  But think about it for just a minute.
[1210.66 - 1210.80]  It's like, and this is a great analogy.
[1211.46 - 1211.78]  Think about it for just a minute.
[1222.94 - 1223.88]  It's like, what happened if you went to a medical doctor? You broke a bone, and he said, we're going to put you in a splint for the rest of your life. well that's what happens when you're putting on glasses
[1223.88 - 1226.42]  the eye doctors
[1226.42 - 1227.98]  see in the 1800s
[1227.98 - 1228.74]  you know what the eye doctors
[1228.74 - 1286.08]  used to do in the 1800s is to take the prescription and make it weaker and weaker over a six week to a six month period until the eyes corrected themselves totally and completely now what do they do they say oh you have to come back in six months and get your prescription made stronger so what happens is is the the current situation is that they're making stronger stronger so and contacts aren't any good because they get they block the even if they're gas permeable contacts block the um they block the oxygen from the eye which causes the eye to be weakened but there's there's good news because my youngest son is now getting corrected contacts which you're supposed to wear only for six or eight months. And then, of course, they are extremely expensive, as usual. But he supposedly is just going to wear them for a short time, and they'll correct his eyesight, which is kind of neat. Well, the focus today is to get the glasses in such a way that it is sharper than the vision would be if you had good vision.
[1286.24 - 1286.40]  Right.
[1286.52 - 1288.70]  And so your eye doesn't have to do anything.
[1288.80 - 1288.94]  Right.
[1288.94 - 1290.20]  It goes, hey, no problem.
[1290.32 - 1291.18]  So it does get weaker.
[1291.34 - 1291.48]  Right.
[1291.52 - 1292.52]  Now think about this for just a minute.
[1292.66 - 1294.04]  What do eye doctors also tell you?
[1294.12 - 1295.14]  Don't strain your eyes, right?
[1295.58 - 1298.22]  Now, if you wanted to have your body be really weak, what would you do?
[1298.58 - 1299.24]  Not work out.
[1299.40 - 1305.54]  Yeah, that's right. If you want to have your body be really strong, what would you do? Work out. And you'd really work out, wouldn't you?
[1306.88 - 1307.00]  All right, so let's do this exercise.
[1308.10 - 1324.56]  This is a really simple exercise. It's like five minutes apiece, maybe even less. Groups of three. Take your finger and run it around the entire 360 degrees of the client's eyes. Watch and make sure that the eyes are tracking smoothly as they go around. If there's a glitch or a bump or a place where they don't access,
[1325.18 - 1326.22]  mention it to the practitioner.
[1327.24 - 1328.74]  And then you can also ask the practitioner,
[1328.96 - 1465.94]  is there anything, any trauma there that you might know of or whatever. Just, just you want to see, and I think this is a good exercise for your clients too when you're doing strategy work. So this would be the first step that I would do. I would simply ask them that question. Okay, so quick exercise. If you're doing it on the tapes, please stop the tapes and do the exercise now stop tapes now okay welcome back how did that how did eye tracking go first of all let me just take let me just look percentages how many people found their eyes didn't smoothly track i'm interested in percentages no it'd be about a 20 20 of the room found that the eyes didn't smoothly track. Okay. I was just wondering if the problem, the tracking glitch was around auditory and you're also having trouble with your hearing. Could it mean that there is a trauma blockage? I would say that the problem with your hearing is probably related or could be related to the accessing, the inability to access. Which would be interesting if you learned how to access that, that you would, maybe your hearing would clear up. That would be, like, really exciting. So why don't, just for fun, why don't you do some eye exercises tonight, and then report back to us about your hearing each day. And we'll put it on the tapes if it clears up. Because that, you know, one of the theories is, one of the theories actually I think was Robert Diltz who said the quality of our life is based on the quality of our synesthesias. So if you're not synesthesia-ing out of the auditory in the first place into the ears, I mean out of the ears into the internal representations of it, that of it, that could be part of the problem. And it may not be the only problem, but it certainly could be part of the problem. So do some eye exercises in auditory. That would be great. Excellent, excellent. And then we'll find out. We'll have a little research project right here on our stage. Yes, son. One of the things we noticed up here was there there was very clean eye tracking however whenever he went to auditory uh construct and kinesthetic he could go over there but he wanted to turn his head so he'd do this he finally held his head and he could still track but you could watch movements in the neck and hear that he wanted to turn so bad. It was just these two quadrants.
[1466.80 - 1467.12]  Interesting.
[1467.22 - 1468.52]  I don't know what that means.
[1468.88 - 1469.62]  Who's the client?
[1470.94 - 1472.36]  So what was that about?
[1472.60 - 1473.62]  Why did you want to turn your head?
[1473.68 - 1473.84]  Do you know?
[1474.00 - 1474.54]  I don't know.
[1474.90 - 1476.12]  It's just like an automatic.
[1476.42 - 1477.64]  And you don't want to turn your head the other way
[1477.64 - 1478.32]  when you go...
[1478.32 - 1479.56]  No, the other way, no.
[1480.20 - 1545.22]  Huh. Well, I've seen clients, and sometimes I've been accused of having eye patterns so much they whip my head around, but this is the first example of someone we've really seen. So that's good. People are going to have idiosyncratic behavior, or they're going to behave the way they do, and it's probably based on your history. Sometimes I make representations that move my head. Don't you guys? Yeah. Not unusual. I was trying to get there faster. Any other questions about this process? So you all understand what to do with your clients. It's going to give you a quick indication of if there's something to work on. And it's also useful if you're ever teaching an NLP training. I'm not suggesting you would be, but you might be in the future sometime. And someone says to you, this person's not normally organized. You'd go, eye tracking, okay. And then you can test the eye tracking. What you'll find is the people that are probably not either the way it is on slide 94, normally organized or reverse organized, probably have some sort of glitch or some sort of trauma or some sort of non-smoothness in the tracking,
[1545.64 - 1547.46]  and that's why the eye patterns would show up that way.
[1548.94 - 1549.74]  Okay, other questions?
[1551.40 - 1551.80]  Great.
[1552.20 - 1553.58]  We're going to move on to strategies next.
[1557.62 - 1560.86]  This is the end of Tape 11, Side B.
