[0.00 - 3.04]  Let's get specific.
[824.10 - 885.32]  If you're going to do selling, you probably ought to read some books on selling or have some experience in selling, if you're going to model that. But model something that you've spent enough time to know about it, and then when you install it in yourself, you'll have sort of an easy go of it. I had never skied until two seasons ago. Oh, I skied when I was 12, but we had those stupid wire things that went around the back of your boots and it was cold and the skis were 17 feet tall because I was 12. Snow skiing, yeah. Yeah, and so I went skiing two seasons ago and actually learned how to ski, and a lot of that was paying really close attention to the physiology, and I felt really good by the end of the fourth day. I did a, what do you call that? Not a black diamond? No, what are you, nuts?
[886.50 - 887.64]  I like to live.
[888.02 - 888.70]  I did a,
[889.96 - 891.08]  at the end of the fourth day,
[891.14 - 892.28]  I did a basic slope,
[892.42 - 893.08]  and by the end of the,
[893.20 - 894.44]  by the end of, I think,
[894.82 - 895.26]  that was good.
[895.32 - 896.72]  I had not skied since I was 12.
[897.82 - 898.88]  And a really tough,
[899.02 - 900.06]  a little tough basic slope,
[900.12 - 901.10]  and by the end of the
[901.10 - 986.30]  second, fourth day, I think it was, I did an intermediate, which I kind of liked. And so for me, without any, I think, background in skiing, that was kind of a, I felt that was kind of a win for me. I don't know how fast people learn. So when you install it in your set, when you're modeling, then you have to install it in yourself and see if you can produce the results. Just see if you can install it in yourself and do it. Mitch, you have a burning, I'm sure. Yes, thank you. Question. When you're modeling excellence, and that excellence happens to be more than one person, invariably, do those two people that share excellence, are they using the same? No? Not necessarily, no. Now, What they found when they modeled the U.S. Army pistol shooting was that there were approximately 54 things that people had in common. And when they isolated all 54 of those things and taught them to new recruits, they increased the qualification virtually to 100 percent. You want to know what some of them are? Sure. One of them was that the marksman had an absolute faith and belief in that the sights of the gun were absolutely correct. And the person who didn't succeed at shooting often had a belief that the sight of the gun was off. So the first thing that the teacher would do is he or she would take a gun
[986.30 - 987.50]  and screw it into a clamp
[987.50 - 989.58]  and they'd shoot it at a target
[989.58 - 991.48]  and prove that the sights were totally right on
[991.48 - 995.22]  to the group
[995.22 - 999.48]  so that's a belief isn't it
[999.48 - 1001.48]  it's an empowering belief or a disempowering belief
[1001.48 - 1002.24]  that was one of the things
[1002.24 - 1004.66]  the other thing was that they found that the really excellent marksman
[1004.66 - 1005.72]  ran through a list
[1005.72 - 1009.72]  of things in their mind as they shot
[1009.72 - 1008.96]  Thank you. an empowering belief or a disempowering belief. That was one of the things. The other thing was that they found that the really excellent marksmen ran through a list of things in their mind
[1008.96 - 1021.98]  as they shot, as they were shooting. So they'd have a list. They'd be talking to themselves as they put the gun in the hand and how they held it out. This was pistol shooting, right? So they had a whole list that they ran through in their mind. and of course there was some stuff
[1021.98 - 1022.60]  about physiology
[1022.60 - 1025.54]  but it wasn't necessarily the same
[1025.54 - 1027.86]  between them but the things that weren't the same
[1027.86 - 1026.24]  they were able to find out which were necessary And, of course, there was some stuff about physiology. But it wasn't necessarily the same between them,
[1026.38 - 1027.86]  but the things that weren't the same,
[1028.00 - 1029.62]  they were able to find out which were necessary,
[1030.24 - 1032.00]  which were idiosyncratic by installing it in themselves
[1032.00 - 1035.20]  and then taking them away and then being able to do it.
[1036.68 - 1039.56]  And then, of course, number nine is you have to design universal training,
[1039.70 - 1041.52]  which they did, and then they trained trainers,
[1041.52 - 1127.48]  and the U.S. Army was able to replicate the success of the modeling project. Not all modeling projects succeeded. The Stinger missile project did not succeed. The Morse code modeling project was a semi-success. This was all U.S. Army stuff. But I think for me, and we're talking in this case about a modeling project where you're actually hired to do it. Personally, I've been real successful at being able to talk to people and pull out models, and it depends on how much time you have and how much you're willing to focus on it in order to create a model that works. There's four things you can do with a model. With the output of modeling, you can set up a training on how to do something more effectively, or simply set up a training. You can set up selection criteria. One of the things we did when we used to do business consulting was we found out how to use metaprograms to do selection for people. One of the interesting things about training is, especially in business or actually in most any situation, is that selection will beat training almost every time. So if you select the people appropriately, then the training will produce the best results. If you're selecting people that aren't particularly suited for a given job, like a salesperson, a salesperson probably ought to be an extrovert.
[1128.26 - 1132.48]  We're going to talk about this during the Myers-Briggs,
[1132.54 - 1134.68]  but a salesperson probably ought to be an extrovert
[1134.68 - 1137.08]  or capable of acting like one.
[1138.26 - 1142.48]  Probably ought to be, depending on who he or she is dealing with,
[1142.54 - 1144.70]  probably ought to be a censor rather than an intuitor
[1144.70 - 1266.26]  or at least able to be flexible enough to chunk down to get specific enough. Probably, it doesn't matter whether the salesperson is a thinker or a feeler, but probably ought to be at least able to go into the feeling side sufficiently, and definitely needs to be a judger rather than a perceiver, so that the salesperson has a pretty high need for closure or needs to be able to learn how to do that. That's just an example. So the salesperson probably ought to be an E, S, T or an F, doesn't matter, J for judger. And at least that's in terms of selection. We've, over Over the years, Myers-Briggs has found that those people become the most effective salespeople. Interestingly enough, a salesperson who is a really solid ESFJ doesn't make a really good manager. The best managers areES while the in the United States the people who end up being managers are mostly estj and the sales and often sales managers are es if they're good salespeople are esfj so the transition from sales manager, or from salesperson to manager, or from sales manager to general manager often doesn't happen because the person isn't flexible enough to learn that. And that's all about selection criteria. So you could take someone who is a feeler and train them forever, and unless they were able to change from thinking to feeling on the feeling side, they probably would not be as effective. The other thing that you can do with modeling is you can model the man-machine interface. That's like how do people use computers, et cetera. How do people use equipment or machines? And you can model the man-man or the person-person interface. Okay, so that's our quick tour de force of modeling. And I want to talk a little bit about training design
[1266.26 - 1269.40]  once you've got the modeling done.
[1270.18 - 1273.36]  And we spend a little bit more time on this
[1273.36 - 1274.02]  at Trainer's Training.
[1274.38 - 1276.22]  But again, today is about sort of
[1276.22 - 1277.86]  how do you take this stuff out
[1277.86 - 1278.72]  and share it with the world.
[1278.92 - 1280.86]  I don't know if any of you are interested in that,
[1280.98 - 1282.80]  but my point of view is that
[1282.80 - 1284.58]  one of the most important things we can do
[1284.58 - 1308.94]  is to get this information out from us as individuals, knowing it, to the rest of the planet. And I think that NLP and timeline therapy and hypnosis has the real possibility of, for the first time, transforming business. That's what got me interested in NLP in the first place was in the business arena. Uh, it has a real possibility of transforming, um, education
[1308.94 - 1317.84]  and it has a, uh, has a real, has a real possibility of, um, transforming, uh, therapy.
[1319.14 - 1465.86]  So each of those, um, each of those areas is, to me, is exciting to see how we can transform that. That's why I do what I do. So training is what we take the output of modeling and make it into. And there are some things. First of all, chunking, we talked about this earlier. If you chunk too big, it's possible that the people themselves might get lost. If you chunk too small, people will get bored. The second thing is you want to sequence the patterns. We're looking at wall chart 115 and page 49, by the way. You want to sequence the teaching in the same order the expert does it. Beliefs and values. You need to find out what the supporting beliefs and values are that they have. You also will need to remove the beliefs that I mentioned with the pistol shooting training one of the disenabling beliefs was that the sights were off. You want to install supporting beliefs and you can use hypnosis or submodality shifts to do that. Positive language. This is a very important part of training, at least in our little branch of neuro-linguistic programming. I don't know if you know how careful we are about making sure that the internal representations are used, the positive internal representations are used during this training. One of the things I want to suggest is that you really shouldn't use the word do not. So don't use do not, or do not use do not. One of the things I want to suggest is that you probably ought to be totally positive and supportive about what the student can do. And if you want studies to the effect that that changes things, remember the kids that we talked about earlier, told the teacher these kids are helplessly retarded, you'll have to, the special ed teacher's not available, they all got C's and D's, same kids, special ed teacher's not available, they're brilliant, they all got A's and B's. So the children perform based on what the teacher thought they would do. That's not an anomaly, that has been, those kinds of studies have been repeated. And so for me, I need to sit here and be totally positive about what a student can do in my mind, that everyone can learn this easily and everyone will be able to do this when they leave here. And use the positive embedded commands about that. The thing is, here's the deal.
[1466.22 - 1469.22]  Negative embedded commands create a need for permission
[1469.22 - 1473.10]  to succeed.
[1473.10 - 1477.92]  So if you use positive teaching methods,
[1478.00 - 1479.28]  what will happen is the students will,
[1479.76 - 1585.98]  they will believe you, and they will actually succeed. Feedback is very critical. It's the most critical component of all. There are two types of feedback, immediate feedback and delayed feedback. To train the unconscious mind, the feedback needs to be immediate. Five minutes is a rule of thumb that we use in our trainings. You need to have feedback within five minutes. The conscious mind can handle delayed feedback well, but the unconscious mind needs immediate feedback. Interestingly enough, if the person changes without feedback, it's not as effective as if they do change with feedback. One of the interesting things that I noticed when doing NLP trainings was if you told the student they were good at something that they weren't good at, they became good at it. Now, I didn't notice this until later, but one time I was, when we owned our radio station, I had a salesperson call me up from Phoenix, and she said, I want to come and work for you. And so I hired her. And when I hired her, when she came in for the beginning interview, I said to her, you know, I have never heard anyone with such a positive approach on the phone in my entire life, and that's the reason why I hired you. And when we did the exit interview several years later, when it was time for her to move on, she said, you know, when you told me that at the beginning of when I began to work for you, she said, I didn't believe that I was really good on the phone. But when you told me that, she said, it totally changed my belief of how good I was on the phone. And so I was so good in prospecting because of what you said to me.
[1587.34 - 1605.84]  So one of the interesting things is if you tell the students that they're good at something and if they're not, they will be good at it. Which is the same thing as these kids are brilliant and you're going to have to struggle to keep up with them. So it's important. Remember the basketball test? I don't know if you heard about this. One-third visualized, one-third played pool, one-third shot baskets.
[1607.58 - 1765.40]  The visualizing group did almost as well as the group that shot baskets. There was no improvement in the ones that shot pool. So the difference is that, what we essentially say from that is that, from a modeling point of view, is that the mind can't tell the difference between, the unconscious mind cannot tell the difference between a real memory and one that is created. And so in the same way, feedback, interestingly enough, if you give positive feedback, then what will happen is the person will change and positively. Remember the person only has seven plus or minus two chunks of attention, so feedback needs to be something they can handle. And it's also important for a person learning something to stay out of the correction mode. So what you want to do is chunk the training at a level where a failure is impossible, where the person succeeds at every step. If you make it too trivial, it could be too easy, which is boredom, but if you make it so they have to stretch and succeed at each level of the training, then that's good. Number seven, visual rehearsal. We talked about that a little bit just a moment ago. Successful people do visual rehearsal each time, dissociated and then associated. Number eight, oh, positive internal dialogue. That's really important. Controlling your internal dialogue is really, really, really, really, really important. There's four things you can do. You can stop it. Just shut off your internal dialogue. That's usually possible if you had been meditating for about 20 years. You can jam the internal dialogue if you want to. And a mantra does that. One of the things that Anthony Robbins did when he set up the firewalk is he has people say the words, cool moss, cool moss, cool moss, for the purpose of jamming the internal dialogue. It was really interesting to me, the University of Hawaii Skeptics Association put together a firewalk the same length as Anthony Robbins' firewalks, and instead of saying kumas, kumas to themselves, as they walked across the hot coals, they said, hot coals, quack, quack, ha, ha, instead of cool moss, cool moss, cool moss, and thus in the newspaper it said that they had successfully proved that the firewalk was a fake. But they didn't realize that hot coals, quack, quack, ha, ha, is just as effective as cool moss, cool moss, cool moss in jamming the internal dialogue. From our point of view as modelers,
[1765.40 - 1785.64]  it was pretty much that they'd successfully jammed the internal dialogue, which is why everyone who walked across the hot coals did it successfully, even with the University of Hawaii Skeptics Association. The content of the mantra that jams it has no, doesn't matter, but it probably ought to be a positive one. You could substitute a positive internal dialogue. That's what we do in pistol shooting. That's what they did in pistol shooting. It was
[1785.64 - 1789.20]  a listing of steps, but you could use positive affirmations. You may need to change the
[1789.20 - 1826.26]  submodalities positive internal dialogue. That's what they did in pistol shooting. It was a listing of steps, but you could use positive affirmations. You may need to change the submodalities of the negative internal dialogue. And the other thing to do is give the internal dialogue something useful and something positive to do. Okay, number nine. Using positive teaching techniques, positive congruency. We talked about that a little bit. Number 10, design small wins. The student wins and is positive at each point. Number 11, while teaching, be a model of excellence. So, um, that doesn't mean you have to be a model of excellence at every moment or in every area of your life, but while you're teaching, it's probably best to be a model of excellence so that the students get the opportunity to look at that.
[1826.54 - 1827.62]  That lets you off the hook, by the way.
[1827.66 - 1843.24]  When you go home and go to sleep, you can be yourself. Or you can be yourself while you're teaching and then go home and not be yourself, or be not yourself, or anyway, never mind. I think you get it. And then number 12, let the people laugh at themselves. It's really important for people to laugh at themselves.
[1843.94 - 1845.70]  When they're laughing, they're learning something.
[1846.32 - 1846.56]  Okay.
[1847.62 - 1865.10]  So that's a quick tour de force of training design and modeling. And what we'd like to do now is to take a short break. I think we should take a quick five-minute break. If you've been listening to this segment on the tape,
[1865.16 - 1865.78]  I think you should probably
[1865.78 - 1866.58]  stop your tape
[1866.58 - 1867.76]  and go and stretch
[1867.76 - 1868.60]  because we're going to do
[1868.60 - 1870.12]  the actual process
[1870.12 - 1871.80]  that we've just learned
[1871.80 - 1872.68]  on how to do modeling.
[1873.42 - 1874.30]  So if you're ready,
[1874.46 - 1875.46]  please stop the tape now
[1875.46 - 1876.10]  and go and stretch
[1876.10 - 1877.14]  and then come back
[1877.14 - 1877.74]  in five minutes.
[1881.22 - 1882.26]  This is the end
[1882.26 - 1884.62]  of Tape 18, Side A.
