[0.00 - 6.94]  The compulsion blowout I've used
[461.48 - 461.54]  Like what? That they plug it in with. Once they're compulsion. No, you ask them. You ask the client. You say to the client, like, what would you like to do instead? And they'll just name something. Sure. A client will say, oh, well, I'd like to, like, work. I'd like to have more time to work out.
[463.22 - 463.74]  Or a client would say, oh, I'd like to read books.
[465.80 - 465.92]  I mean, especially in the case of anorexia or bulimia,
[467.30 - 467.36]  the client would say, well, I'd like to read books,
[465.80 - 465.92]  or I'd like to go work out, or I'd like to have more time to work out. Or a client would say, oh, I'd like to read books. I mean, especially in the case of anorexia or bulimia,
[467.30 - 467.34]  the client would say, well, I'd like to read books,
[469.76 - 471.44]  or I'd like to go work out, or I'd like to do some running. So then they won't become compulsive at working out
[471.44 - 472.66]  because the compulsion's gone, right?
[473.78 - 473.66] 
[477.60 - 477.96]  The truth is that compulsive clients, you know, are often compulsive.
[478.16 - 478.68]  Yeah.
[483.22 - 483.28]  So I was going to say if you could give them some task like notice how beautiful flowers and clouds are,
[487.42 - 487.62]  they can do that a million times a day without really affecting their physical being.
[505.64 - 505.84]  It would seem to me, So a couple things about that. One of the things is if you use timeline therapy, then you're going to take a detailed personal history anyway. Right. And you're going to get at the underlying cause of the compulsion. And I would recommend doing timeline therapy before you do this anyway. I wouldn't just do a compulsion blowout.
[507.92 - 524.26]  Me, personally, I would not do a compulsion blowout without having done timeline therapy with a detailed personal history and all of that first. Yeah, so I would do that and my guess is, so what you're talking about, what you're talking about is transference of symptoms, which is a major issue in Ericksonian hypnosis And if you read any of Erickson's work,
[524.32 - 527.04]  what happens is if you don't adequately handle the underlying cause,
[527.10 - 528.40]  the symptom can break out somewhere else.
[528.40 - 546.16]  And as you said, a client could become compulsive about working out, for sure that is absolutely a possibility so timeline therapy first handle the underlying root cause and we'll talk about that when we get to timeline therapy, if you're listening to these tapes you probably will want to make sure you get the Timeline Therapy Master Practitioner tape set
[546.16 - 547.68]  and make sure that,
[547.74 - 549.58]  because there is some more about interventions
[549.58 - 565.42]  about compulsions in that tape set. Okay. So just, but make sure you get the underlying cause. Then if they come back and they still have the compulsion, then you would do the compulsion blowout knowing that you'd already taken care of the root cause of that that's what's going to handle that issue i have two questions the
[565.42 - 628.56]  first one would be um you say that this is hard why is it hard on the practitioner because as they become more and more compulsed it's very can be very uncomfortable like eating one chocolate's great right and eating two chocolates is great and eating three chocolates is maybe not quite as great as two, but eating four chocolates is quite a lot. And eating, how about ten chocolates? And then how about a box of chocolates? Then how about five boxes of chocolates? Then how about 20 boxes of chocolates? Then how about 300? Okay. My son was turning her head away going, So for the client in the middle of that, it can be quite uncomfortable. And I've had clients actually beg me to stop and i reminded them i said you know we really have to get you over the top on this because we agreed we were going to and it won't be appropriate to leave you there so you've got to really stick with them second part of the question have you used this for drug and or alcohol addictions um personally i don't work with clients who have drug and alcohol but we have drug and addictions counselors who have used the compulsion blowout for drug and addictions,
[628.82 - 634.08]  both alcohol and cocaine and marijuana and so forth.
[634.40 - 637.00]  So, yeah, I think all of these are very important
[637.00 - 640.62]  in the arsenal of interventions that you would use for anything,
[641.00 - 643.04]  and definitely in terms of compulsions, they're very valuable.
[643.74 - 644.78]  You're going to have to decide.
[644.98 - 786.88]  You're going to have to decide yourself whether an appropriate intervention is appropriate. If you want an intervention that's less invasive, because this is a real invasive intervention. I mean, the clients I've taken with, it's very uncomfortable to go over the threshold. Neurological drivers that we're about to get to, which is another submodality distinction, is also useful in taking out compulsions. And that's much less intrusive and much less invasive and a lot more comfortable for the client. We're going to talk about those next. Other questions? That was part of my question, but the other part was how long a time period would this take to do? It takes as long as it takes, and usually no more than a half an hour. I think the one client that was the most uncomfortable for me was a guy that I did with cigarettes. And he was sweating. It took him about a half an hour to blow it out. But he was sweating because he got into it and he hated it, so he really didn't like it. So it got kind of funky. Okay, and is this similar to what I've seen where they actually make them smoke the cigarettes all through their mouth, like, you know, dozens of them? Well, that's aversion therapy. It could take a person over a threshold. We're actually not doing the physical part. We're just handling the mental part. But it certainly could take a person over a threshold. There's also shocking people with electric shocks. A shik, I think, used to do that to make them stop smoking. It's behavioral modification. This is just another method, right? Okay. So we're not going to do this as an exercise, but you have it available in your arsenal. I think it's an important tool in case you need it. Any questions about compulsion blowout? Good. One more advanced technique, and then we need to move on to some of the stuff that we've been working on and developing here in our little branch of NLP. Oh, here's the learning state. We covered this the first day, page 4-3. Just take a look at page 4-3 so you know where it is. Those of you who are doing education, absolutely copy this page, use it. I'm happy to have you use it. It's great. Use it any time you want. Make a copy of it, hand it out for students, et cetera. And I actually have one. One of our graduates went around all the schools in Honolulu and was doing in-service stuff with teachers just to get them to use it. Okay, let's look at number four, page four. Some of you actually saw me do this intervention
[786.88 - 790.14]  two or three Master Practitioner trainings ago
[790.14 - 791.70]  with Lani Kai.
[791.96 - 793.46]  She's a nine-year-old who wanted a puppy.
[795.28 - 798.30]  And so we did timeline therapy
[798.30 - 799.92]  for any negative emotions about dogs,
[800.02 - 803.34]  because her thing was that she started sneezing
[803.34 - 804.62]  any time she got near an animal.
[825.92 - 848.46]  And she so desperately wanted to have a little dog for Christmas. So she came in, and here's the process. It's really, really simple. And again, remember, with advanced submodalities, we're actually looking at something that the client's allergic to, which is step number one, something similar the client's not allergic to, which is step number two. Does that look like exactly the same way what we did with compulsion blowout? Yeah? Again, we're doing contrastive analysis. And much of the advanced submodality work is simply contrasting and comparing two sets of submodalities when we switch one over to the other. So we're gonna find the, the similar thing not allergic to. What I used with Lani Kai was her pet teddy bear, her teddy bear, which was furry, but
[848.46 - 849.42]  it wasn't alive, was it?
[849.42 - 1069.30]  Her little teddy bear. So her teddy bear had fur, but wasn't a dog, and she wasn't allergic to it. So we anchored her, and I actually asked her to imagine rubbing her nose in her teddy bear and feeling really good about it, and we anchored that. So we've got a dog that she wanted, step number one. We've got the submodalities of that. We found something similar, not allergic to, and we got that and anchored that, step number three. Now what the client does is they visualize a large plate. They're in a room and they visualize a large plate of plexiglass between them and, in this case, between her and the dog. And the dog is on the other side of the plexiglass. Then we have her, while we're holding the anchor now, she's imagining the dog, she's imagining the plexiglass. While we're holding the anchor, we have her bring down the plexiglass all the way down and then have her hug the dog and play with the dog and all that in her mind while we're still holding the anchor of the thing it was similar but not allergic to. And what happened is her allergy disappeared. Her sneezing allergy. This is very, very useful for sneezing allergies. A couple of caveats. Let me give you some caveats. First of all, an allergy is a phobia of the immune system. So what happens is the immune system becomes phobic. For adult clients, when you do this work, you can tell them, kids don't really care, but aren't particularly interested in the theory, but some adults are going to want to know. So an allergen says to the immune system, hey, you're going to die if this gets into the body. And so the immune system starts producing large amounts of histamine to try to drive out the allergen. And then sometimes clients, depending on the intensity of the allergen, can go into shock. So one thing you want to be careful of when you're using the allergy technique is it's probably not appropriate to use it, or let's put it this way, if you are going to use it on something to which the client has the possibility of going into anaphylactic shock, I don't know if you know what that is, but the throat actually swells up, constricting the airways, and there's so much, the swelling of the breathing area swells up, constricting the airways in the throat, and the client can't actually breathe. What will have to happen is probably, I don't know if I'm up to date on this, but probably injections of Benadryl would be indicated or something like that that will cause that to go down. Anaphylactic shock is quite dangerous, and probably if the person could have anaphylactic shock from an allergen like this, they ought to have their little bee sting kits. That's what bee sting kits have. There's a bee sting kit you can have present in case that happens, or you may want to have a medical doctor present. So the theory is that an allergen is a phobia of the immune system where the immune system becomes phobic. And one of the things I say to adults when I'm doing this, like I did work with one client for cats, and one of the things you say to the adult is you say, look, your immune system thinks that when the allergen from the cat gets in there, you're going to die, but people touch cats every day and they don't die. So the difference is that your immune system thinks that if you touch the cat or if the cat, with dander or whatever it is, gets into your immune system that you're going to die, so what you're going to do is you're going to tell them that that's not going to happen and you tell the unconscious mind
[1069.30 - 1127.16]  that you're going to die, so what you're going to do is you're going to tell them that that's not going to happen. And you tell the unconscious mind that you can be comfortable, you can be safe. If other people can touch cats and be healthy, so can you. So you're going to talk to them a little bit about that. This technique, I've not used this technique for food allergies. I've usually used timeline therapy, but this is a very effective technique for sneezing allergies, the sneezes. It's very effective for handling any allergen with regards to sneezing. I would also recommend, personally, I would do timeline therapy beforehand. When I worked with Lani Kai, the significant emotional event that caused, or that she felt caused her allergy was that some altercation with the dog when she was younger. So there was fear there. That's what caused the immune system to be phobic of the dog for her. We got rid of that, and then we did this process too, and it totally cemented it in. And then step number six here on page 4-4 is you will definitely want to future pace,
[1127.42 - 1128.26]  test and future pace.
[1128.90 - 1130.80]  So at the end, you definitely want to imagine,
[1131.12 - 1133.40]  I had her imagine playing with the dog, holding the dog,
[1134.54 - 1138.12]  and she actually went to the dog place.
[1139.56 - 1140.72]  Isn't that what they call it, the dog place?
[1140.72 - 1143.88]  And got the puppy and brought him home.
[1144.10 - 1144.92]  In her mind now.
[1207.44 - 1449.74]  Got the puppy, brought the puppy home, played got the puppy and brought him home. In her mind now. Got the puppy, brought the puppy home, played with the puppy, and was totally comfortable. Okay, so that's the process for the allergy model. Questions? With allergies regarding molds, hay fever, things like that, would you do timeline first and forget this? Because how are you going to elicit some modalities on on pollen no no no no yeah yeah for sneezes absolutely absolutely for pollen um you don't have so you're going to have to find something similar so have you ever gone up to a tree and sniffed a tree or if if they're if they know that it's ragweed have you ever walked up to a a flower that you smelled and you didn't sneeze? So it could be, because ragweed's a flower, it could be, what, roses or something they like, like, I don't know, I was thinking, you know, carnations don't have any smell, but maybe it would be a carnation. Yeah, well, in my area, it's like the day after they cut the grass. Okay, okay, cool. Which kicks up, supposedly, the pollen that's fallen out of the trees. Right, so the day after they cut the grass. So what is a similar thing that, so maybe it's the wind, or maybe it's the dust in the air. Supposedly airborne. So maybe it's the wind. Something else that the client could do. But it's a little tougher. You can use it for this it's a little tougher to to get the exact submodality distinctions because or to get the exact submodalities because if the client doesn't really have a clear picture of something close then you may have a problem with that right you recommend timeline i always i would say always with this do timeline therapy first because there's going to be probably a significant emotional event. There's going to be a significant emotional event first. But this is very effective, very effective. All the clients I've done this with, it worked. In fact, I knew somebody who actually came out of one of our master practitioner trainings, and I didn't follow up, but she was going to go back and open up an allergy clinic simply using this process and timeline therapy. Now, think about how many people have allergies in the world, you know. And if you could get some significant result, I mean, even allergies to pets and so forth, what a great boon that would be. Other questions? Can you just explain, number four, the plexiglass and what you do there again? Mm-hmm. They're in the same room with the dog, as an example. And between them and the dog is a big piece of plexiglass. So the big piece of plexiglass goes from the ceiling to the floor and the entire width of the room. And the dog is on the other side. They're on this side. And then the dog's on the other side. They're on this side, and you fire resource anchor. Got the resource anchor held. You're going to fire the resource anchor, and while the plexiglass is coming down, the resource anchor is held, and you hold that resource anchor, making sure that they're... So essentially, you're bringing it all the way down, still holding the resource anchor, then they walk over and play with the dog, et cetera, and then you feed your patient. Other questions? Yes? He had brought up mold, and I really didn't understand how you could deal with mold. It doesn't... You had said using timeline, there's usually an underlying cause for an allergy where they would develop a phobia, their body would develop a phobia to a substance. Mold is not something that you can generally see. It's in some foods in the air and different things. It's kind of vague to me, and I was wondering how you could deal with that specific kind of allergy. Food allergies generally have, actually all allergies generally have a significant emotional event prior to the first onset of symptoms. And oftentimes it's diagnosed as an allergy to molds, and it very well may be, but it's usually associated with some sort of food or something like that. It could be a smell. If you can get the client to find out the first event, then you'll definitely be able to, you'll go a long way toward getting rid of the problems that created that. You're going to have to work with the client. We don't have any specifics here, but my experience in working with clients in this regard is that if you can get the client aware of when that first event happened, then they can, Here's the thing. Cause and effect, right? If the client can choose or can get their process and the creation of it, they can un-choose it. So if they can get the cause and effect of it, that is how they created it, they can also then un-choose to have it, which will then free them up from having it. So, I can't, unless we have something specific, I will tell you that I could probably find it with a client. And that's because I believe I can find it and because I've always been able to find it. Even the thing with molds, et cetera, my feeling is there's going to be something that's happened one to three years prior that caused the client to in some way be thinking of
[1449.74 - 1454.62]  or in some way some sort of reaction to something external
[1454.62 - 1458.78]  that then linked the two and caused the immune system to become phobic.
[1459.88 - 1462.68]  I don't know what that would be in advance,
[1463.38 - 1489.16]  but if we go along with some of the theories of timeline therapy, then probably the event would be one to three years prior to the first onset of symptoms. It could be more recently than that, it could be right at the same time as the first onset of symptoms, but it could be as far back as one to three years prior to the first onset. regards to mold the client also probably would have you see if you could if you could if you
[1489.16 - 1505.74]  could get a hold of the strategy the client probably would have a strategy for doing it environmental illness is one of those things that is sort of nondescript and kind of fun to work with and i've worked with a number of people with that and I had one client who was allergic to mold.
[1507.48 - 1510.00]  If she walked down the street and the bus blew fumes in her face,
[1510.06 - 1514.64]  she'd have to go home and sleep, et cetera, et cetera.
[1514.70 - 1516.30]  You know what environmental illness is, right?
[1516.88 - 1518.02]  And so when I first met her,
[1518.06 - 1520.06]  she came in and she was wearing a mask on her face.
[1520.94 - 1522.46]  And I said, how's it going?
[1522.50 - 1523.80]  And she went, whoa, whoa, whoa, whoa.
[1524.12 - 1525.04]  No, just kidding.
[1525.64 - 1548.02]  That's a joke. She's wearing one of those, you know, masks on her face. And, you know, she had no idea. And she was one of the clients that really had no idea. But what I got from her was, how do you know it's time to do this? Is there ever a time when a bus blows fumes in your face and you don't react, etc., etc.,
[1548.02 - 1549.02]  etc.?
[1549.02 - 1545.86]  So I did logical levels of therapy. how do you know it's time to do this? Is there ever a time when a bus blows fumes in your face
[1545.86 - 1564.76]  and you don't react, et cetera, et cetera, et cetera? So I did logical levels of therapy with her. And I also did timeline therapy and got rid of every negative emotion that she had in her past and any limiting decisions about her health. And do you know that, and she would never, she said, she told me when she left, She said, I'll never get on an airplane.
[1564.88 - 1566.38]  I can't stand the diesel fuel, et cetera.
[1566.92 - 1568.70]  And do you know that within three months,
[1568.74 - 1566.38]  she came and took one of our trainings? Do you know that, and she would never, she said, she told me when she left, she said, I'll never get on an airplane. I can't stand the diesel fuel, et cetera.
[1566.92 - 1569.78]  And do you know that within three months she came and took one of our trainings?
[1570.78 - 1571.24]  No, really.
[1571.24 - 1574.40]  She actually flew over here to Hawaii and took one of our HUNA trainings.
[1575.40 - 1577.38]  And she came in and she goes, hi.
[1577.42 - 1579.06]  And I didn't recognize her without the mask, you know.
[1581.88 - 1582.68]  Just kidding.
[1583.70 - 1625.56]  Okay. just kidding okay um you'll have to excuse me i've got the shakes since you started talking about that but i used to walk around with a mask really cool time and i got i've got to the point where i can tolerate things without the symptoms being too bad but if you're allergic to all foods and all man-made chemicals could it all have come from one significant event or i'd like to get rid of it yeah yeah so would you remind me during timeline therapy because i'd like to i'd like to do that yeah yeah we'll do something on that that'd be cool okay. Okay, so here's the deal. Here's the deal, okay?
[1625.72 - 1627.76]  The way a phobia develops, oftentimes,
[1627.96 - 1641.40]  and we're just talking about allergies here, right? But the way a phobia, and that's the same thing, environmental illnesses is sort of allergy, sort of like related. The way a phobia develops, like take the way agoraphobia develops. I don't know if you're familiar with agoraphobia,
[1641.50 - 1642.94]  they're afraid of going out of the house.
[1643.30 - 1645.52]  But it oftentimes begins with a single panic attack.
[1646.82 - 1685.24]  It often begins with a single panic, right? And then what happens is the client generalizes it. And so what happens is then the immune system and the body generalize the thing to other things. So is it possible that it could come from one? Yes, absolutely. My experience is it's often very, very simple to get rid of. So the only thing, if you're sitting there shaking, the only thing I would say is, how long have you had this? Well, I was diagnosed eight years ago. Right. So could your unconscious mind allow you to be comfortable for about four or five more days until we get to the timeline therapy segment when we can handle it. Yeah. Okay.
[1685.24 - 1707.90]  Yeah, so it could be one event, and the way it happens is it's just people generalize. But what the neat thing about that is, is it makes it very easy to get rid of, because you find the one event and then you're done. And you may have to do the plexiglass thing and all that too, but we'll, you know, we'll see. Yes? with situations like allergies and other similar things that there's a secondary
[1707.90 - 1786.20]  gain that is in all of this? Especially in agoraphobia and in a number of other cases, there could be secondary gain, and we hopefully can pick that up in the questioning in the detailed personal history. But there could very well be secondary gain. So does that go away when you do the timeline therapy and or is that no you have to handle the secondary gain and that's a secondary consideration yeah i mean you have to handle the secondary gain so here's here's here's what secondary gain means oftentimes the client with pretty extensive like allergies etc will or environmental illnesses or phobia will have will have worked a tremendous support system for themselves. And so you need to, first of all, talk to the people in the support system and assist them in transitioning from supporting the client when they're sick to supporting the client when they're well. Oh, well, if you're talking about people that are on disability, then that's another issue. The question was, how about the people in the state who are receiving money for being on disability? That's a whole other issue. Certainly, people who receive money for their problems will often not get rid of their problems, and if you're working in the state system, my hat's off to you. Otherwise, I wouldn't work with a client unless I was clear that they were willing to give up their problem.
[1787.28 - 1790.04]  You know, but that's a whole other issue of finding out what the gain is for keeping it
[1790.04 - 1791.30]  and the gain is for not having it.
[1793.14 - 1794.22]  And you've got to give them
[1794.22 - 1796.94]  some other kind of gain instead.
[1798.68 - 1799.08]  Okay.
[1802.24 - 1805.70]  This is the end of Tape 14, Side A.
